ds,STATE_ALPHA,y
2002-01-01,AL,200000.0
1997-01-01,AL,280000.0
1978-01-01,AL,640000.0
1987-01-01,AL,300000.0
1974-01-01,AL,695000.0
2007-01-01,AL,340000.0
2009-01-01,AL,280000.0
2010-01-01,AL,270000.0
2006-01-01,AL,200000.0
1995-01-01,AL,250000.0
1996-01-01,AL,300000.0
1998-01-01,AL,300000.0
1999-01-01,AL,220000.0
2001-01-01,AL,180000.0
2005-01-01,AL,220000.0
2000-01-01,AL,230000.0
1993-01-01,AL,300000.0
1992-01-01,AL,330000.0
1989-01-01,AL,230000.0
2004-01-01,AL,220000.0
2003-01-01,AL,220000.0
2008-01-01,AL,260000.0
1930-01-01,AL,2953000.0
1935-01-01,AL,3760000.0
1937-01-01,AL,3370000.0
1938-01-01,AL,3673000.0
1940-01-01,AL,3565000.0
1941-01-01,AL,3289000.0
1943-01-01,AL,3225000.0
1944-01-01,AL,2929000.0
1945-01-01,AL,2814000.0
1953-01-01,AL,2322000.0
1954-01-01,AL,2417000.0
1959-01-01,AL,2023000.0
1966-01-01,AL,991000.0
1968-01-01,AL,831000.0
1969-01-01,AL,785000.0
1970-01-01,AL,699000.0
1971-01-01,AL,699000.0
1972-01-01,AL,631000.0
1980-01-01,AL,540000.0
1981-01-01,AL,600000.0
1983-01-01,AL,350000.0
1984-01-01,AL,450000.0
1986-01-01,AL,340000.0
1985-01-01,AL,370000.0
1988-01-01,AL,240000.0
1991-01-01,AL,260000.0
1994-01-01,AL,290000.0
2011-01-01,AL,270000.0
2012-01-01,AL,310000.0
1979-01-01,AL,570000.0
1982-01-01,AL,450000.0
1990-01-01,AL,290000.0
1929-01-01,AL,2660000.0
1931-01-01,AL,3100000.0
1932-01-01,AL,3232000.0
1933-01-01,AL,3200000.0
1936-01-01,AL,3497000.0
1939-01-01,AL,3673000.0
1942-01-01,AL,3140000.0
1946-01-01,AL,2633000.0
1947-01-01,AL,2651000.0
1948-01-01,AL,2584000.0
1949-01-01,AL,2567000.0
1950-01-01,AL,2678000.0
1951-01-01,AL,2536000.0
1952-01-01,AL,2536000.0
1955-01-01,AL,2252000.0
1956-01-01,AL,2207000.0
1957-01-01,AL,2136000.0
1958-01-01,AL,1930000.0
1960-01-01,AL,1868000.0
1961-01-01,AL,1476000.0
1962-01-01,AL,1269000.0
1963-01-01,AL,1282000.0
1964-01-01,AL,1141000.0
1965-01-01,AL,1038000.0
1967-01-01,AL,1023000.0
1973-01-01,AL,694000.0
1975-01-01,AL,750000.0
1976-01-01,AL,880000.0
1977-01-01,AL,840000.0
1934-01-01,AL,3680000.0
1926-01-01,AL,2660000.0
1927-01-01,AL,2790000.0
1928-01-01,AL,2620000.0
2013-01-01,AL,320000.0
2014-01-01,AL,300000.0
2015-01-01,AL,260000.0
2016-01-01,AL,330000.0
2017-01-01,AL,250000.0
2018-01-01,AL,255000.0
2019-01-01,AL,320000.0
2020-01-01,AL,330000.0
2021-01-01,AL,350000.0
2022-01-01,AL,300000.0
2002-01-01,AZ,60000.0
1997-01-01,AZ,60000.0
1978-01-01,AZ,70000.0
1987-01-01,AZ,23000.0
1974-01-01,AZ,21000.0
2007-01-01,AZ,55000.0
2009-01-01,AZ,50000.0
2010-01-01,AZ,45000.0
2006-01-01,AZ,50000.0
1995-01-01,AZ,30000.0
1996-01-01,AZ,55000.0
1998-01-01,AZ,50000.0
1999-01-01,AZ,50000.0
2001-01-01,AZ,55000.0
2005-01-01,AZ,50000.0
2000-01-01,AZ,56000.0
1993-01-01,AZ,19000.0
1992-01-01,AZ,16000.0
1989-01-01,AZ,20000.0
2004-01-01,AZ,53000.0
2003-01-01,AZ,47000.0
2008-01-01,AZ,50000.0
1925-01-01,AZ,32000.0
1930-01-01,AZ,27000.0
1935-01-01,AZ,35000.0
1937-01-01,AZ,38000.0
1938-01-01,AZ,39000.0
1940-01-01,AZ,36000.0
1941-01-01,AZ,38000.0
1943-01-01,AZ,33000.0
1944-01-01,AZ,34000.0
1945-01-01,AZ,33000.0
1953-01-01,AZ,35000.0
1954-01-01,AZ,37000.0
1959-01-01,AZ,33000.0
1966-01-01,AZ,31000.0
1968-01-01,AZ,29000.0
1969-01-01,AZ,32000.0
1970-01-01,AZ,31000.0
1971-01-01,AZ,28000.0
1972-01-01,AZ,26000.0
1980-01-01,AZ,50000.0
1981-01-01,AZ,45000.0
1983-01-01,AZ,20000.0
1984-01-01,AZ,23000.0
1986-01-01,AZ,25000.0
1985-01-01,AZ,21000.0
1988-01-01,AZ,19000.0
1991-01-01,AZ,14000.0
1994-01-01,AZ,28000.0
2011-01-01,AZ,60000.0
2012-01-01,AZ,70000.0
1979-01-01,AZ,60000.0
