ds,yhat,STATE_ALPHA
2023-01-01,319376.2757919892,AL
2023-01-01,78323.92373662362,AZ
2023-01-01,879879.4778655524,AR
2023-01-01,585818.0916967868,CA
2023-01-01,1335854.8565073083,CO
2023-01-01,18378.74430976746,CT
2023-01-01,184432.1256124212,DE
2023-01-01,52201.345348039176,FL
2023-01-01,339401.7751878841,GA
2023-01-01,465439.9845961149,ID
2023-01-01,13307380.667748416,IL
2023-01-01,6019470.24204268,IN
2023-01-01,14990143.940552792,IA
2023-01-01,5416387.617678753,KS
2023-01-01,1570122.3773199485,KY
2023-01-01,568605.9793122865,LA
2023-01-01,28339.972058232237,ME
2023-01-01,479195.4975123027,MD
2023-01-01,9088.771288633694,MA
2023-01-01,2657090.709773671,MI
2023-01-01,9077408.312146004,MN
2023-01-01,902807.71869939,MS
2023-01-01,3822110.2235164247,MO
2023-01-01,131672.6063377838,MT
2023-01-01,10205111.000606438,NE
2023-01-01,6430.483996408435,NV
2023-01-01,13918.471160196072,NH
2023-01-01,69024.27668345954,NJ
2023-01-01,117572.417442819,NM
2023-01-01,1119708.4558453504,NY
2023-01-01,918384.6379004556,NC
2023-01-01,4427693.307988494,ND
2023-01-01,3682326.6089110137,OH
2023-01-01,412122.8367291561,OK
2023-01-01,92793.26644186674,OR
2023-01-01,1314443.86980539,PA
2023-01-01,1432.8420596669598,RI
2023-01-01,340295.30476387247,SC
2023-01-01,6699866.36701032,SD
2023-01-01,961331.8342681752,TN
2023-01-01,2332434.4798192703,TX
2023-01-01,88056.58128110442,UT
2023-01-01,82628.41225452532,VT
2023-01-01,491834.2206660031,VA
2023-01-01,223574.12004965945,WA
2023-01-01,41654.23245308808,WV
2023-01-01,4364697.252421698,WI
2023-01-01,101437.88656520138,WY
