ds,yhat,STATE_ALPHA
2016-01-01,293179.60124308674,AL
2017-01-01,297685.4266242641,AL
2018-01-01,301297.16593775287,AL
2019-01-01,304686.3094998896,AL
2020-01-01,307845.22052043356,AL
2021-01-01,312392.1443224612,AL
2022-01-01,316000.83728957863,AL
2023-01-01,319376.2757919892,AL
2016-01-01,69215.70703510092,AZ
2017-01-01,71614.58279730742,AZ
2018-01-01,72521.60556394761,AZ
2019-01-01,73365.34240279524,AZ
2020-01-01,74143.68411223973,AZ
2021-01-01,76624.00600387748,AZ
2022-01-01,77507.34662301154,AZ
2023-01-01,78323.92373662362,AZ
2016-01-01,678905.095044578,AR
2017-01-01,698772.3779998816,AR
2018-01-01,731309.1773179696,AR
2019-01-01,763609.4582321953,AR
2020-01-01,795607.9635825077,AR
2021-01-01,813931.3266673305,AR
2022-01-01,847064.3482770356,AR
2023-01-01,879879.4778655524,AR
2016-01-01,581106.8832920967,CA
2017-01-01,571722.7097331395,CA
2018-01-01,576733.9198676824,CA
2019-01-01,581358.622165176,CA
2020-01-01,585590.2206715915,CA
2021-01-01,576125.1378302345,CA
2022-01-01,581166.4086966314,CA
2023-01-01,585818.0916967868,CA
2016-01-01,1316688.8530285116,CO
2017-01-01,1228290.8421373765,CO
2018-01-01,1268038.0923793174,CO
2019-01-01,1307276.640926458,CO
2020-01-01,1345952.7379723014,CO
2021-01-01,1255438.8958232347,CO
2022-01-01,1295910.7447260257,CO
2023-01-01,1335854.8565073085,CO
2016-01-01,22868.566097718485,CT
2017-01-01,22543.39931912729,CT
2018-01-01,21785.362728028616,CT
2019-01-01,21018.354151527423,CT
2020-01-01,20243.870684435104,CT
2021-01-01,19879.42933694771,CT
2022-01-01,19132.656052236227,CT
2023-01-01,18378.74430976746,CT
2016-01-01,179066.72508176917,DE
2017-01-01,181109.04868066078,DE
2018-01-01,181469.66363194704,DE
2019-01-01,181697.71967352374,DE
2020-01-01,181792.3070447212,DE
2021-01-01,183855.24548341302,DE
2022-01-01,184210.94397121257,DE
2023-01-01,184432.12561242116,DE
2016-01-01,64806.83268435509,FL
2017-01-01,61902.492778530126,FL
2018-01-01,60586.45658783315,FL
2019-01-01,59206.06658654406,FL
2020-01-01,57764.509999658556,FL
2021-01-01,54987.532509390454,FL
2022-01-01,53624.206717451874,FL
2023-01-01,52201.345348039176,FL
2016-01-01,347383.5563141654,GA
2017-01-01,355499.9282534223,GA
2018-01-01,350843.84232044645,GA
2019-01-01,345968.809104048,GA
2020-01-01,340882.2432654125,GA
2021-01-01,348815.3768990633,GA
2022-01-01,344215.70418297075,GA
2023-01-01,339401.7751878841,GA
2016-01-01,380147.8179325635,ID
2017-01-01,386696.45910702244,ID
2018-01-01,401295.66252344166,ID
2019-01-01,415756.12792808784,ID
2020-01-01,430049.9883904455,ID
2021-01-01,435842.11773563345,ID
2022-01-01,450727.2462727212,ID
2023-01-01,465439.98459611484,ID
2016-01-01,12741833.749766922,IL
2017-01-01,12619085.405058643,IL
2018-01-01,12787970.588592334,IL
2019-01-01,12949014.344621876,IL
2020-01-01,13101942.575517979,IL
2021-01-01,12973217.870923886,IL
2022-01-01,13144343.983470663,IL
2023-01-01,13307380.667748416,IL
2016-01-01,5963515.693761347,IN
2017-01-01,5897047.778946026,IN
2018-01-01,5938113.099001105,IN
2019-01-01,5975123.489222853,IN
2020-01-01,6008024.103877496,IN
2021-01-01,5940977.972974459,IN
2022-01-01,5982267.034924941,IN
2023-01-01,6019470.24204268,IN
2016-01-01,14206148.629907532,IA
2017-01-01,14214914.007454187,IA
2018-01-01,14375974.57460067,IA
2019-01-01,14527605.54260623,IA
2020-01-01,14669519.626738993,IA
2021-01-01,14674813.004941585,IA
2022-01-01,14837355.169784356,IA
2023-01-01,14990143.940552793,IA
2016-01-01,4768505.886363904,KS
2017-01-01,4736544.132215901,KS
2018-01-01,4880825.565819381,KS
2019-01-01,5023592.670796004,KS
2020-01-01,5164588.153280477,KS
2021-01-01,5121951.955111005,KS
2022-01-01,5270060.920942332,KS
2023-01-01,5416387.617678753,KS
2016-01-01,1488725.586445284,KY
2017-01-01,1444268.0115397,KY
2018-01-01,1478997.2847334938,KY
2019-01-01,1513085.1537657643,KY
2020-01-01,1546477.691351219,KY
2021-01-01,1499756.2311583338,KY
2022-01-01,1535279.5736811573,KY
2023-01-01,1570122.3773199485,KY
2016-01-01,542108.2262213316,LA
2017-01-01,532504.9106858785,LA
2018-01-01,541917.7891755621,LA
2019-01-01,551029.2567431733,LA
2020-01-01,559824.3131956815,LA
2021-01-01,549765.8501140475,LA
2022-01-01,559342.7343425932,LA
2023-01-01,568605.9793122865,LA
2016-01-01,28913.291922668104,ME
2017-01-01,28447.338374738716,ME
2018-01-01,28535.34834366707,ME
2019-01-01,28602.739913869562,ME
2020-01-01,28649.48912935574,ME
2021-01-01,28187.1923010749,ME
2022-01-01,28273.799889037127,ME
2023-01-01,28339.972058232233,ME
2016-01-01,482005.1021261169,MD
2017-01-01,481534.94216219394,MD
2018-01-01,481432.82893096184,MD
2019-01-01,480991.1109398178,MD
2020-01-01,480210.728464188,MD
2021-01-01,479740.6454292535,MD
2022-01-01,479637.24115655385,MD
2023-01-01,479195.4975123027,MD
2016-01-01,13506.925272814968,MA
2017-01-01,12928.675261835055,MA
2018-01-01,12282.885347348287,MA
2019-01-01,11629.960005773612,MA
2020-01-01,10971.248563500563,MA
2021-01-01,10381.775512521172,MA
2022-01-01,9737.954098172295,MA
2023-01-01,9088.771288633694,MA
2016-01-01,2536306.288481325,MI
2017-01-01,2557493.142250622,MI
2018-01-01,2574616.722194751,MI
2019-01-01,2589925.5100496416,MI
2020-01-01,2603385.9606120572,MI
2021-01-01,2624687.958902583,MI
2022-01-01,2641820.3190016593,MI
2023-01-01,2657090.709773671,MI
2016-01-01,8517385.482947152,MN
2017-01-01,8504658.214536484,MN
2018-01-01,8626281.83215224,MN
2019-01-01,8742555.722723864,MN
2020-01-01,8853264.414702635,MN
2021-01-01,8836754.516048487,MN
2022-01-01,8959873.033188209,MN
2023-01-01,9077408.312146004,MN
2016-01-01,772775.533782883,MS
2017-01-01,785873.0759667486,MS
2018-01-01,807048.247831308,MS
2019-01-01,827756.3943339548,MS
2020-01-01,847955.3211222953,MS
2021-01-01,860508.1106980479,MS
2022-01-01,881917.9143750513,MS
2023-01-01,902807.7186993901,MS
2016-01-01,3561170.860770427,MO
2017-01-01,3426459.27130661,MO
2018-01-01,3533868.201338893,MO
2019-01-01,3640389.33442898,MO
2020-01-01,3745853.1254968573,MO
2021-01-01,3601876.4422109164,MO
2022-01-01,3712499.4727497003,MO
2023-01-01,3822110.2235164247,MO
2016-01-01,109385.68891837868,MT
2017-01-01,113533.02467779482,MT
